wNomeFonte;wSufixo;wSistema
message;p;HCM_espec-update_espec_syspro_object_msg
message1;p;HCM_espec-update_espec_syspro_object_msg
message2;p;HCM_espec-update_espec_syspro_object_msg
message3;p;HCM_espec-update_espec_syspro_object_msg
message4;p;HCM_espec-update_espec_syspro_object_msg
message5;p;HCM_espec-update_espec_syspro_object_msg
q01esfp002;w;HCM_espec-update_espec_syspro_object_qry
q01esfp022;w;HCM_espec-update_espec_syspro_object_qry
q01esfp022a;w;HCM_espec-update_espec_syspro_object_qry
q01esfp022b;w;HCM_espec-update_espec_syspro_object_qry
q01esfp022c;w;HCM_espec-update_espec_syspro_object_qry
q01esfp022d;w;HCM_espec-update_espec_syspro_object_qry
q01esmt004;w;HCM_espec-update_espec_syspro_object_qry
q01esmt004b;w;HCM_espec-update_espec_syspro_object_qry
q01esmt004c;w;HCM_espec-update_espec_syspro_object_qry
q01esmt006;w;HCM_espec-update_espec_syspro_object_qry
q01esmt007;w;HCM_espec-update_espec_syspro_object_qry
q01esmt008;w;HCM_espec-update_espec_syspro_object_qry
q01esmt011;w;HCM_espec-update_espec_syspro_object_qry
q01esmt013;w;HCM_espec-update_espec_syspro_object_qry
q01esmt014;w;HCM_espec-update_espec_syspro_object_qry
q01esmt021;w;HCM_espec-update_espec_syspro_object_qry
q01esop001;w;HCM_espec-update_espec_syspro_object_qry
q01esop001a;w;HCM_espec-update_espec_syspro_object_qry
q01esop001b;w;HCM_espec-update_espec_syspro_object_qry
q01esop002;w;HCM_espec-update_espec_syspro_object_qry
q01esop002a;w;HCM_espec-update_espec_syspro_object_qry
q01esop002e;w;HCM_espec-update_espec_syspro_object_qry
q01esop002g;w;HCM_espec-update_espec_syspro_object_qry
q01esop004;w;HCM_espec-update_espec_syspro_object_qry
q01esop006;w;HCM_espec-update_espec_syspro_object_qry
q01esop006a;w;HCM_espec-update_espec_syspro_object_qry
q01esop007;w;HCM_espec-update_espec_syspro_object_qry
q01espe005a;w;HCM_espec-update_espec_syspro_object_qry
q01espe010a;w;HCM_espec-update_espec_syspro_object_qry
q01esst0013;w;HCM_espec-update_espec_syspro_object_qry
q02esfp001;w;HCM_espec-update_espec_syspro_object_qry
b01esmt0728;w;HCM_espec-update_espec_syspro_object_sopm_brw
v01pm285;w;HCM_espec-update_espec_syspro_object_sopm_vwr
v01pm286_;w;HCM_espec-update_espec_syspro_object_sopm_vwr
v02pm285;w;HCM_espec-update_espec_syspro_object_sopm_vwr
z01esmt0728;w;HCM_espec-update_espec_syspro_object_sopm_zoom
v01esfp001;w;HCM_espec-update_espec_syspro_object_vwr
v01esfp002;w;HCM_espec-update_espec_syspro_object_vwr
v01esfp022;w;HCM_espec-update_espec_syspro_object_vwr
v01esfp022a;w;HCM_espec-update_espec_syspro_object_vwr
v01esfp022b;w;HCM_espec-update_espec_syspro_object_vwr
v01esfp022c;w;HCM_espec-update_espec_syspro_object_vwr
v01esfp022d;w;HCM_espec-update_espec_syspro_object_vwr
v01esmt004;w;HCM_espec-update_espec_syspro_object_vwr
